2025-02-06 20:22:38,954 p=2700178 u=lavender n=ansible | [WARNING]: Error in vault password file loading (default): Vault password script /home/lavender/.vault-pass returned non-zero (1): None

2025-02-06 20:22:38,954 p=2700178 u=lavender n=ansible | ERROR! Vault password script /home/lavender/.vault-pass returned non-zero (1): None
2025-02-06 20:23:00,903 p=2700273 u=lavender n=ansible | ERROR! Empty playbook, nothing to do: /home/lavender/sandbox/ansible/jackaltx/solti-containers/playbooks/mattermost.yml
2025-02-06 20:23:13,897 p=2700358 u=lavender n=ansible | PLAY [Install Mattermost] *********************************************************************************************************************
2025-02-06 20:23:13,914 p=2700358 u=lavender n=ansible | TASK [Gathering Facts] ************************************************************************************************************************
2025-02-06 20:23:14,804 p=2700358 u=lavender n=ansible | ok: [firefly]
2025-02-06 20:23:14,807 p=2700358 u=lavender n=ansible | TASK [mattermost : Include prerequisites tasks] ***********************************************************************************************
2025-02-06 20:23:14,823 p=2700358 u=lavender n=ansible | included: /home/lavender/sandbox/ansible/jackaltx/solti-containers/roles/mattermost/tasks/prerequisites.yml for firefly
2025-02-06 20:23:14,827 p=2700358 u=lavender n=ansible | TASK [mattermost : Create TLS directory] ******************************************************************************************************
2025-02-06 20:23:14,842 p=2700358 u=lavender n=ansible | skipping: [firefly]
2025-02-06 20:23:14,848 p=2700358 u=lavender n=ansible | TASK [mattermost : Ensure podman is installed] ************************************************************************************************
2025-02-06 20:23:23,706 p=2700358 u=lavender n=ansible | changed: [firefly]
2025-02-06 20:23:23,710 p=2700358 u=lavender n=ansible | TASK [mattermost : Create Mattermost data directories] ****************************************************************************************
2025-02-06 20:23:23,867 p=2700358 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data)
2025-02-06 20:23:23,964 p=2700358 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/config)
2025-02-06 20:23:24,065 p=2700358 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/data)
2025-02-06 20:23:24,165 p=2700358 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/logs)
2025-02-06 20:23:24,265 p=2700358 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/plugins)
2025-02-06 20:23:24,366 p=2700358 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/client/plugins)
2025-02-06 20:23:24,469 p=2700358 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/postgres)
2025-02-06 20:23:24,474 p=2700358 u=lavender n=ansible | TASK [mattermost : Create Mattermost config] **************************************************************************************************
2025-02-06 20:23:24,782 p=2700358 u=lavender n=ansible | changed: [firefly]
2025-02-06 20:23:24,786 p=2700358 u=lavender n=ansible | TASK [mattermost : Include container tasks] ***************************************************************************************************
2025-02-06 20:23:24,800 p=2700358 u=lavender n=ansible | included: /home/lavender/sandbox/ansible/jackaltx/solti-containers/roles/mattermost/tasks/containers.yml for firefly
2025-02-06 20:23:24,805 p=2700358 u=lavender n=ansible | TASK [mattermost : Create podman network] *****************************************************************************************************
2025-02-06 20:23:25,077 p=2700358 u=lavender n=ansible | changed: [firefly]
2025-02-06 20:23:25,080 p=2700358 u=lavender n=ansible | TASK [mattermost : Deploy PostgreSQL container] ***********************************************************************************************
2025-02-06 20:23:28,950 p=2700358 u=lavender n=ansible | changed: [firefly]
2025-02-06 20:23:28,953 p=2700358 u=lavender n=ansible | TASK [mattermost : Wait for PostgreSQL to be ready] *******************************************************************************************
2025-02-06 20:23:59,134 p=2700358 u=lavender n=ansible | ok: [firefly]
2025-02-06 20:23:59,138 p=2700358 u=lavender n=ansible | TASK [mattermost : Deploy Mattermost container] ***********************************************************************************************
2025-02-06 20:23:59,268 p=2700358 u=lavender n=ansible | fatal: [firefly]: FAILED! => {"changed": false, "msg": "Unsupported parameters for (containers.podman.podman_container) module: depends_on. Supported parameters include: annotation, arch, attach, authfile, blkio_weight, blkio_weight_device, cap_add, cap_drop, cgroup_conf, cgroup_parent, cgroupns, cgroups, chrootdirs, cidfile, cmd_args, command, conmon_pidfile, cpu_period, cpu_quota, cpu_rt_period, cpu_rt_runtime, cpu_shares, cpus, cpuset_cpus, cpuset_mems, debug, decryption_key, delete_depend, delete_time, delete_volumes, detach, detach_keys, device, device_cgroup_rule, device_read_bps, device_read_iops, device_write_bps, device_write_iops, dns, dns_option, dns_search, entrypoint, env, env_file, env_host, env_merge, etc_hosts, executable, expose, force_delete, force_restart, generate_systemd, gidmap, gpus, group_add, group_entry, health_startup_cmd, health_startup_interval, health_startup_retries, health_startup_success, health_startup_timeout, healthcheck, healthcheck_failure_action, healthcheck_interval, healthcheck_retries, healthcheck_start_period, healthcheck_timeout, hooks_dir, hostname, hostuser, http_proxy, image, image_strict, image_volume, init, init_ctr, init_path, interactive, ip, ip6, ipc, kernel_memory, label, label_file, log_driver, log_level, log_opt, mac_address, memory, memory_reservation, memory_swap, memory_swappiness, mount, name, network, network_aliases, no_healthcheck, no_hosts, oom_kill_disable, oom_score_adj, os, passwd, passwd_entry, personality, pid, pid_file, pids_limit, platform, pod, pod_id_file, preserve_fd, preserve_fds, privileged, publish, publish_all, pull, quadlet_dir, quadlet_file_mode, quadlet_filename, quadlet_options, rdt_class, read_only, read_only_tmpfs, recreate, requires, restart_policy, restart_time, retry, retry_delay, rm, rmi, rootfs, sdnotify, seccomp_policy, secrets, security_opt, shm_size, shm_size_systemd, sig_proxy, state, stop_signal, stop_time, stop_timeout, subgidname, subuidname, sysctl, systemd, timeout, timezone, tls_verify, tmpfs, tty, uidmap, ulimit, umask, unsetenv, unsetenv_all, user, userns, uts, variant, volume, volumes_from, workdir (add_hosts, auto_remove, capabilities, dns_opts, dns_search_domains, dns_servers, env_files, exposed, exposed_ports, groups, health_cmd, health_interval, health_on_failure, health_retries, health_start_period, health_timeout, ipc_mode, labels, log_options, mounts, net, network_alias, network_mode, pid_mode, ports, published, published_ports, remove, restart, ulimits, userns_mode, volumes, working_dir)."}
2025-02-06 20:23:59,268 p=2700358 u=lavender n=ansible | PLAY RECAP ************************************************************************************************************************************
2025-02-06 20:23:59,268 p=2700358 u=lavender n=ansible | firefly                    : ok=9    changed=5    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2025-02-06 20:27:21,295 p=2702187 u=lavender n=ansible | PLAY [Install Mattermost] *********************************************************************************************************************
2025-02-06 20:27:21,313 p=2702187 u=lavender n=ansible | TASK [Gathering Facts] ************************************************************************************************************************
2025-02-06 20:27:22,221 p=2702187 u=lavender n=ansible | ok: [firefly]
2025-02-06 20:27:22,224 p=2702187 u=lavender n=ansible | TASK [mattermost : Include prerequisites tasks] ***********************************************************************************************
2025-02-06 20:27:22,239 p=2702187 u=lavender n=ansible | included: /home/lavender/sandbox/ansible/jackaltx/solti-containers/roles/mattermost/tasks/prerequisites.yml for firefly
2025-02-06 20:27:22,243 p=2702187 u=lavender n=ansible | TASK [mattermost : Create TLS directory] ******************************************************************************************************
2025-02-06 20:27:22,259 p=2702187 u=lavender n=ansible | skipping: [firefly]
2025-02-06 20:27:22,262 p=2702187 u=lavender n=ansible | TASK [mattermost : Ensure podman is installed] ************************************************************************************************
2025-02-06 20:27:23,409 p=2702187 u=lavender n=ansible | ok: [firefly]
2025-02-06 20:27:23,413 p=2702187 u=lavender n=ansible | TASK [mattermost : Create Mattermost data directories] ****************************************************************************************
2025-02-06 20:27:23,566 p=2702187 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data)
2025-02-06 20:27:23,672 p=2702187 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/config)
2025-02-06 20:27:23,774 p=2702187 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/data)
2025-02-06 20:27:23,872 p=2702187 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/logs)
2025-02-06 20:27:23,971 p=2702187 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/plugins)
2025-02-06 20:27:24,077 p=2702187 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/client/plugins)
2025-02-06 20:27:24,178 p=2702187 u=lavender n=ansible | changed: [firefly] => (item=/home/lavender/mattermost-data/postgres)
2025-02-06 20:27:24,184 p=2702187 u=lavender n=ansible | TASK [mattermost : Create Mattermost config] **************************************************************************************************
2025-02-06 20:27:24,495 p=2702187 u=lavender n=ansible | changed: [firefly]
2025-02-06 20:27:24,499 p=2702187 u=lavender n=ansible | TASK [mattermost : Include container tasks] ***************************************************************************************************
2025-02-06 20:27:24,515 p=2702187 u=lavender n=ansible | included: /home/lavender/sandbox/ansible/jackaltx/solti-containers/roles/mattermost/tasks/containers.yml for firefly
2025-02-06 20:27:24,518 p=2702187 u=lavender n=ansible | TASK [mattermost : Create podman network] *****************************************************************************************************
2025-02-06 20:27:24,746 p=2702187 u=lavender n=ansible | ok: [firefly]
2025-02-06 20:27:24,749 p=2702187 u=lavender n=ansible | TASK [mattermost : Deploy PostgreSQL container] ***********************************************************************************************
2025-02-06 20:27:25,258 p=2702187 u=lavender n=ansible | changed: [firefly]
2025-02-06 20:27:25,262 p=2702187 u=lavender n=ansible | TASK [mattermost : Wait for PostgreSQL to be ready] *******************************************************************************************
2025-02-06 20:27:55,434 p=2702187 u=lavender n=ansible | ok: [firefly]
2025-02-06 20:27:55,437 p=2702187 u=lavender n=ansible | TASK [mattermost : Deploy Mattermost container] ***********************************************************************************************
